treatment_variant,treatment_role,treatment_family,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
baseline,core,headline,tdc_bank_only_qoq,0,86.08814077380539,14.307190562452137,58.0460472713992,114.13023427621158,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,1,115.95916898888741,23.446035221790385,70.00493995417825,161.91339802359659,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,2,146.89154006334346,36.853032010926995,74.65959732192654,219.12348280476039,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,3,144.51010865008578,40.97137690231744,64.2062099215436,224.81400737862796,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,4,172.8674661880664,50.028812654854036,74.81099338455249,270.9239389915803,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,5,174.6857194206256,58.52744657755605,59.97192412861574,289.39951471263544,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,6,194.29624566042375,72.29046851308121,52.60692737478459,335.98556394606294,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,7,199.1957353817741,78.7704919459548,44.80557116770271,353.5858995958455,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,8,219.83216429237058,81.1308670184492,60.81566493621017,378.848663648531,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,total_deposits_bank_qoq,0,28.95006368418275,13.625048119004301,2.244969370934321,55.65515799743118,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
